[Sat Apr 07 16:14:58 2012] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/favicon.ico
[Sat Apr 07 16:14:58 2012] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/favicon.ico
[Sat Apr 07 16:14:58 2012] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/favicon.ico
[Thu Jan 03 17:57:30 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000018, referer: http://lab3.own/
[Thu Jan 03 17:57:30 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000019, referer: http://lab3.own/
[Thu Jan 03 17:57:30 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000020, referer: http://lab3.own/
[Thu Jan 03 17:57:30 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000022, referer: http://lab3.own/
[Thu Jan 03 17:57:30 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000021, referer: http://lab3.own/
[Thu Jan 03 17:57:30 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/priceofday/00000014, referer: http://lab3.own/
[Thu Jan 03 17:57:30 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/priceofday/00000009, referer: http://lab3.own/
[Thu Jan 03 17:57:30 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/recommend/00000016, referer: http://lab3.own/
[Thu Jan 03 17:57:30 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/recommend/00000017, referer: http://lab3.own/
[Thu Jan 03 17:57:30 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/recommend/00000018, referer: http://lab3.own/
[Thu Jan 03 17:57:30 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/recommend/00000015, referer: http://lab3.own/
[Thu Jan 03 17:57:30 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/recommend/00000014, referer: http://lab3.own/
[Thu Jan 03 17:57:30 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/recommend/00000019, referer: http://lab3.own/
[Thu Jan 03 17:57:30 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/recommend/00000012, referer: http://lab3.own/
[Thu Jan 03 17:57:30 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/recommend/00000013, referer: http://lab3.own/
[Thu Jan 03 17:57:30 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/mix/00000015, referer: http://lab3.own/
[Thu Jan 03 17:57:30 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/mix/00000018, referer: http://lab3.own/
[Thu Jan 03 17:57:30 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/mix/00000017, referer: http://lab3.own/
[Thu Jan 03 17:57:30 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/mix/00000012, referer: http://lab3.own/
